songid,Song_name,Genres
1,I Don't Care (with Justin Bieber) - Loud Luxury Remix,pop
2,Memories - Dillon Francis Remix,pop
3,All the Time - Don Diablo Remix,pop
4,Call You Mine - Keanu Silva Remix,pop
5,Someone You Loved - Future Humans Remix,pop
6,Beautiful People (feat. Khalid) - Jack Wins Remix,pop
7,Never Really Over - R3HAB Remix,pop
8,Post Malone (feat. RANI) - GATTÜSO Remix,pop
9,Tough Love - Tiësto Remix / Radio Edit,pop
10,If I Can't Have You - Gryffin Remix,pop
11,Cross Me (feat. Chance the Rapper & PnB Rock) - M-22 Remix,pop
12,Hate Me - R3HAB Remix,pop
13,Body On My,pop
14,SOS - Laidback Luke Tribute Remix / Radio Edit,pop
15,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy) - Tiësto Remix,pop
16,South of the Border (feat. Camila Cabello & Cardi B) - Andy Jarvis Remix,pop
17,All My Friends - Eden Prince Remix,pop
18,Say My Name (feat. Bebe Rexha & J Balvin) - Lucas & Steve Remix,pop
19,Dancing With A Stranger (With Normani) - Cheat Codes Remix,pop
20,Let It Be Me - Sondr Remix,pop
21,Heaven - David Guetta & MORTEN Remix,pop
22,All Around The World (La La La) - Marnik Remix,pop
23,Don't Leave Me Alone (feat. Anne-Marie) - EDX's Indian Summer Remix,pop
24,Slow Dance (feat. Ava Max) - Sam Feldt Remix,pop
25,Do You Mean (feat. Ty Dolla $ign & bülow) - Myon Remix,pop
26,Hold Me While You Wait - Steve Void Remix,pop
27,One Thing Right - Firebeatz Remix,pop
28,Close To Me (with Diplo) (feat. Swae Lee) - CID Remix,pop
29,So Am I - Toby Green Remix,pop
30,When You Leave - Breathe Carolina Remix,pop
31,Mother - Fedde Le Grand Remix,pop
32,Signs - Eden Prince Remix,pop
33,Ruin My Life - Steve James Remix,pop
34,Torn - KREAM Remix,pop
35,Quite Miss Home - Steve Void Remix,pop
36,Love Me Less (feat. Quinn XCII) - Party Pupils Remix,pop
39,Happier - Matt Medved Remix,pop
40,Side Effects - Fedde Le Grand Remix,pop
41,Good Things Fall Apart (with Jon Bellion) [Tiësto's Big Room Remix],pop
42,Paradise - Bazzi vs. Black Caviar Remix,pop
43,White Mercedes - EDX's Miami Sunset Remix,pop
44,Higher Love,pop
45,Unlove You,pop
46,bad guy (with Justin Bieber),pop
47,Freaking Me Out - Keanu Silva Remix,pop
48,Heaven Can Wait - The Aston Shuffle Remix,pop
49,When It Comes To You - Benny Benassi & BB Team Remix,pop
50,Gone - The Wild Remix,pop
52,American Boy - Brooks Remix,pop
53,Million Pieces - M-22 Remix,pop
54,joy. (R3HAB Remix),pop
55,Crash Into Me - Settle Down Steavis Aoki Remix,pop
57,Old Town Road - Diplo Remix,pop
58,Lovers + Strangers - GATTÜSO Remix,pop
59,Promises (with Sam Smith) - David Guetta Remix,pop
60,Flames (with ZAYN) - R3HAB & Skytech VIP Remix,pop
61,What Am I - SONDR Remix,pop
62,Cool Kids,pop
63,Loco Contigo (with J. Balvin & Tyga) - Cedric Gervais Remix,pop
64,All Star - Breathe Carolina Remix,pop
65,Trampoline - Dave Audé Remix,pop
66,Stay (Don't Go Away) [feat. Raye] - Mark Knight Remix,pop
68,With You - Dexter Remix,pop
69,Safety (feat. DJ Snake) - Dark Heart 2am Mix,pop
70,Beautiful (feat. Camila Cabello) - Bazzi vs. EDX's Ibiza Sunrise Remix,pop
71,Talk - Disclosure VIP,pop
72,Spicy - Majestic Remix,pop
73,Don't Leave Me Lonely (feat. Yebba) - Claptone Remix,pop
74,Treehouse - R3HAB Remix,pop
75,Hearts Ain't Gonna Lie - Eden Prince Remix,pop
76,Call You Mine,pop
78,Post Malone (feat. RANI),pop
79,Here With Me,pop
80,Easier - Seeb Remix,pop
81,Sixteen,pop
82,Never Really Over,pop
83,All You Need To Know (feat. Calle Lehmann),pop
84,I Miss Myself (with HRVY),pop
85,South of the Border (feat. Camila Cabello & Cardi B) - Sam Feldt Remix,pop
86,Takeaway (feat. Lennon Stella),pop
87,All the Time,pop
88,What I Like About You (feat. Theresa Rex),pop
89,With You,pop
90,Body Back (feat. Maia Wright),pop
92,Not Ok,pop
93,Ruin My Life,pop
94,I Wanna Know (feat. Bea Miller),pop
95,Better With You,pop
96,"Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")",pop
97,Polaroid,pop
100,Lost In Japan - Remix,pop
101,In Your Arms (with X Ambassadors),pop
102,I'm Not Alright,pop
103,SOS,pop
104,Harder,pop
105,The Middle,pop
107,Wanted,pop
108,Crash Into Me,pop
110,Need Your Love (with Noah Kahan),pop
111,Good Things Fall Apart (with Jon Bellion),pop
112,Don't Call Me Up,pop
113,Nostalgic,pop
114,Let It Be Me,pop
115,Lovers + Strangers,pop
116,Sad Song (feat. TINI),pop
117,Sleepless Nights,pop
118,Save Me Tonight,pop
121,Pretty Girl - Cheat Codes X CADE Remix,pop
122,No Sleep (feat. Bonn),pop
123,Feel Good (feat. Daya),pop
124,Endless Summer,pop
125,Faith (with Dolly Parton) [feat. Mr. Probz],pop
126,Think About You,pop
129,Party For One,pop
131,Ritual,pop
132,Electricity (with Dua Lipa),pop
135,Lie,pop
137,I Found You (with Calvin Harris),pop
138,Now That I Found You,pop
140,All Comes Back To You,pop
141,Need U,pop
144,First Love,pop
145,Something Real,pop
146,TIME,pop
147,Something About You (with Rudimental),pop
149,Home (feat. Bonn),pop
